#
#
Time,SURFACE_LIBRE:703:0,SURFACE_LIBRE:(0.0;1.0):0
(s),(-),(-)
0.000000000000000000e+00,1.706684708595275879e+00,1.799995660781860352e+00
1.000000000000000000e+00,1.710540890693664551e+00,1.799987912178039551e+00
2.000000000000000000e+00,1.707695364952087402e+00,1.799941301345825195e+00
3.000000000000000000e+00,1.706869363784790039e+00,1.798211336135864258e+00
4.000000000000000000e+00,1.706711411476135254e+00,1.797523617744445801e+00
5.000000000000000000e+00,1.706163406372070312e+00,1.800050973892211914e+00
6.000000000000000000e+00,1.706483364105224609e+00,1.802110433578491211e+00
7.000000000000000000e+00,1.707312703132629395e+00,1.801313281059265137e+00
8.000000000000000000e+00,1.707445740699768066e+00,1.800133109092712402e+00
9.000000000000000000e+00,1.707093238830566406e+00,1.799798965454101562e+00
1.000000000000000000e+01,1.706943869590759277e+00,1.799865722656250000e+00
