#
#
Time,SURFACE_LIBRE:703:0
(s),(-)
0.000000000000000000e+00,1.706684708595275879e+00
1.000000000000000000e+00,1.710540890693664551e+00
2.000000000000000000e+00,1.707695364952087402e+00
3.000000000000000000e+00,1.706869363784790039e+00
4.000000000000000000e+00,1.706711411476135254e+00
5.000000000000000000e+00,1.706163406372070312e+00
6.000000000000000000e+00,1.706483364105224609e+00
7.000000000000000000e+00,1.707312703132629395e+00
8.000000000000000000e+00,1.707445740699768066e+00
9.000000000000000000e+00,1.707093238830566406e+00
1.000000000000000000e+01,1.706943869590759277e+00
