 5.011e-03&  2.719e-02&  3.738e-01&  0.0000& 0.678 \\ 
 3.860e-03&  1.992e-02&  2.016e-01& -0.0001& 0.996 \\ 
 2.868e-03&  1.487e-02&  2.501e-01&  0.0000& 0.751 \\ 
 1.702e-02&  6.631e-02&  8.235e-01&  0.0000& 0.179 \\ 
 4.032e-03&  1.910e-02&  2.089e-01&  0.0000& 0.792 \\ 
 1.548e-02&  6.237e-02&  7.863e-01&  0.0000& 0.214 \\ 
 3.412e-03&  1.761e-02&  2.752e-01&  0.0000& 0.725 \\ 
 4.669e-03&  2.387e-02&  3.561e-01&  0.0000& 0.644 \\ 
 3.424e-03&  1.769e-02&  2.759e-01&  0.0000& 0.724 \\ 
 4.663e-03&  2.386e-02&  3.565e-01&  0.0000& 0.644 \\ 
 4.032e-03&  1.910e-02&  2.089e-01&  0.0000& 0.792
